"","Response","family","link","method","Marginal","Conditional","date_2"
"231","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.54,0.98,2020-05-01
"232","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.25,0.97,2020-05-01
"233","log.new_cases.per1M","gaussian","identity","none",0.91,0.91,2020-05-02
"234","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.47,0.95,2020-05-02
"235","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.54,0.98,2020-05-02
"236","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.25,0.97,2020-05-02
"237","log.new_cases.per1M","gaussian","identity","none",0.91,0.91,2020-05-03
"238","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.5,0.95,2020-05-03
"239","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.55,0.98,2020-05-03
"240","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.25,0.97,2020-05-03
"241","log.new_cases.per1M","gaussian","identity","none",0.91,0.91,2020-05-04
"242","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.59,0.94,2020-05-04
"243","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.55,0.98,2020-05-04
"244","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.25,0.97,2020-05-04
"245","log.new_cases.per1M","gaussian","identity","none",0.9,0.91,2020-05-05
"246","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.61,0.95,2020-05-05
"247","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.56,0.98,2020-05-05
"248","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.27,0.97,2020-05-05
"249","log.new_cases.per1M","gaussian","identity","none",0.9,0.9,2020-05-06
"250","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.66,0.95,2020-05-06
"251","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.55,0.98,2020-05-06
"252","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.26,0.97,2020-05-06
"253","log.new_cases.per1M","gaussian","identity","none",0.9,0.9,2020-05-07
"254","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.65,0.95,2020-05-07
